date,Javascript,HTML,CSS,React
2019-09-29,61,66,46,39
2019-10-06,69,68,56,33
2019-10-13,79,73,56,43
2019-10-20,74,68,55,44
2019-10-27,72,75,57,41
2019-11-03,71,78,57,37
2019-11-10,78,78,56,41
2019-11-17,77,78,60,45
2019-11-24,73,74,60,40
2019-12-01,73,75,57,35
2019-12-08,71,74,65,44
2019-12-15,79,74,58,44
2019-12-22,62,53,58,38
2019-12-29,61,58,52,35
2020-01-05,80,79,66,45
2020-01-12,80,80,71,53
2020-01-19,63,65,62,41
2020-01-26,62,66,54,42
2020-02-02,79,77,74,50
2020-02-09,82,73,69,54
2020-02-16,78,77,64,45
2020-02-23,76,76,63,40
2020-03-01,80,64,65,43
2020-03-08,80,73,68,47
2020-03-15,78,81,63,41
2020-03-22,75,80,69,45
2020-03-29,79,83,71,48
2020-04-05,75,83,73,48
2020-04-12,64,70,65,44
2020-04-19,74,82,66,50
2020-04-26,64,68,64,40
2020-05-03,65,71,65,39
2020-05-10,79,87,73,45
2020-05-17,78,89,76,55
2020-05-24,81,87,78,51
2020-05-31,84,92,73,58
2020-06-07,83,96,75,55
2020-06-14,92,100,75,52
2020-06-21,84,91,78,47
2020-06-28,81,91,78,52
2020-07-05,88,85,76,52
2020-07-12,90,86,76,53
2020-07-19,88,83,82,57
2020-07-26,86,80,77,59
2020-08-02,89,83,85,55
2020-08-09,84,94,83,55
2020-08-16,77,77,70,50
2020-08-23,81,81,84,54
2020-08-30,77,74,67,47
2020-09-06,74,77,70,52
2020-09-13,81,81,77,56
2020-09-20,39,57,51,22
